Step,method1,method2,method3,method4,method5,method6,method7,method8,method9,method10,method11,method12,method13,method14,method15,method16,method17,method18
590,0.28932,0.2629,0.3251,0.20805,0.2009,0.2152,0.2601,0.2601,0.2601,0.0088,0.0068,0.0121,0.32,0.32,0.32,0.2803,0.2803,0.2803
594,0.27726,0.2531,0.3128,0.209,0.2074,0.2106,0.2581,0.2581,0.2581,0.0085,0.0072,0.0094,0.2936,0.2936,0.2936,0.2833,0.2833,0.2833
598,0.28662,0.2582,0.3239,0.2202,0.2141,0.2263,0.2587,0.2587,0.2587,0.009566667,0.0074,0.0117,0.3028,0.3028,0.3028,0.2956,0.2956,0.2956
602,0.29864,0.2698,0.3368,0.2207,0.2106,0.2308,0.2624,0.2624,0.2624,0.008333333,0.0076,0.0094,0.309,0.309,0.309,0.2932,0.2932,0.2932
606,0.29948,0.2736,0.3345,0.21675,0.2126,0.2209,0.2708,0.2708,0.2708,0.0095,0.0081,0.0112,0.3162,0.3162,0.3162,0.2971,0.2971,0.2971
610,0.28872,0.2658,0.322,0.2104,0.1997,0.2211,0.2631,0.2631,0.2631,0.009766667,0.0097,0.0099,0.3067,0.3067,0.3067,0.2755,0.2755,0.2755
614,0.28134,0.2536,0.3104,0.1963,0.1858,0.2068,0.2308,0.2308,0.2308,0.008066667,0.0042,0.0102,0.3002,0.3002,0.3002,0.2655,0.2655,0.2655
618,0.28866,0.2572,0.3227,0.2144,0.2052,0.2236,0.2586,0.2586,0.2586,0.0072,0.0066,0.0076,0.311,0.311,0.311,0.2826,0.2826,0.2826
622,0.29844,0.2709,0.3254,0.22465,0.2186,0.2307,0.2631,0.2631,0.2631,0.0061,0.006,0.0063,0.3099,0.3099,0.3099,0.2906,0.2906,0.2906
626,0.29956,0.2757,0.3225,0.2253,0.2156,0.235,0.2644,0.2644,0.2644,0.0084,0.008,0.0091,0.3128,0.3128,0.3128,0.2907,0.2907,0.2907
630,0.29298,0.2645,0.3221,0.21415,0.2096,0.2187,0.2495,0.2495,0.2495,0.010633333,0.0101,0.0116,0.3025,0.3025,0.3025,0.2737,0.2737,0.2737
634,0.2921,0.2742,0.3142,0.2202,0.2156,0.2248,0.2514,0.2514,0.2514,0.008433333,0.0072,0.0108,0.3116,0.3116,0.3116,0.2949,0.2949,0.2949
638,0.30106,0.2757,0.3282,0.23125,0.2252,0.2373,0.2662,0.2662,0.2662,0.0105,0.0099,0.0108,0.3119,0.3119,0.3119,0.2959,0.2959,0.2959
642,0.297,0.2794,0.3209,0.2295,0.2229,0.2361,0.2529,0.2529,0.2529,0.009733333,0.0078,0.0109,0.31,0.31,0.31,0.2915,0.2915,0.2915
646,0.2972,0.2726,0.3291,0.21975,0.2128,0.2267,0.2493,0.2493,0.2493,0.0095,0.0058,0.0115,0.3007,0.3007,0.3007,0.2941,0.2941,0.2941
650,0.29182,0.2689,0.3205,0.2249,0.2222,0.2276,0.2493,0.2493,0.2493,0.006433333,0.0063,0.0067,0.3035,0.3035,0.3035,0.2915,0.2915,0.2915
654,0.29674,0.262,0.3314,0.22585,0.2197,0.232,0.2708,0.2708,0.2708,0.009833333,0.0063,0.0122,0.3135,0.3135,0.3135,0.3015,0.3015,0.3015
658,0.29748,0.2659,0.3368,0.2192,0.2124,0.226,0.27,0.27,0.27,0.009933333,0.0094,0.0105,0.3106,0.3106,0.3106,0.2905,0.2905,0.2905
662,0.287,0.2561,0.3242,0.22045,0.2158,0.2251,0.2405,0.2405,0.2405,0.008466667,0.0064,0.0096,0.2967,0.2967,0.2967,0.2862,0.2862,0.2862
666,0.29604,0.274,0.3273,0.23275,0.2295,0.236,0.2711,0.2711,0.2711,0.008966667,0.0063,0.013,0.3086,0.3086,0.3086,0.2938,0.2938,0.2938
670,0.3023,0.2779,0.3256,0.2297,0.2227,0.2367,0.2835,0.2835,0.2835,0.011333333,0.0097,0.0135,0.3262,0.3262,0.3262,0.2991,0.2991,0.2991
674,0.29938,0.2696,0.3339,0.2323,0.232,0.2326,0.2666,0.2666,0.2666,0.009166667,0.0078,0.0109,0.3191,0.3191,0.3191,0.2977,0.2977,0.2977
678,0.29268,0.274,0.3217,0.2333,0.2299,0.2367,0.2675,0.2675,0.2675,0.0078,0.0077,0.0079,0.3055,0.3055,0.3055,0.2908,0.2908,0.2908
682,0.30242,0.2772,0.3322,0.233,0.2278,0.2382,0.2748,0.2748,0.2748,0.007433333,0.0053,0.0108,0.3138,0.3138,0.3138,0.2971,0.2971,0.2971
686,0.30584,0.2843,0.3282,0.22745,0.2206,0.2343,0.2899,0.2899,0.2899,0.007633333,0.0073,0.0081,0.314,0.314,0.314,0.3022,0.3022,0.3022
690,0.3013,0.2795,0.3227,0.2295,0.2231,0.2359,0.2637,0.2637,0.2637,0.012366667,0.0098,0.0141,0.3093,0.3093,0.3093,0.2891,0.2891,0.2891
694,0.29356,0.268,0.3255,0.22405,0.2145,0.2336,0.2622,0.2622,0.2622,0.009233333,0.0059,0.0148,0.2977,0.2977,0.2977,0.2865,0.2865,0.2865
698,0.30504,0.2848,0.3296,0.231,0.2255,0.2365,0.2704,0.2704,0.2704,0.011166667,0.0094,0.0125,0.3269,0.3269,0.3269,0.3052,0.3052,0.3052
702,0.302,0.2817,0.3298,0.24115,0.2394,0.2429,0.2811,0.2811,0.2811,0.0107,0.0097,0.0114,0.3109,0.3109,0.3109,0.3048,0.3048,0.3048
706,0.30442,0.2867,0.3234,0.2388,0.2357,0.2419,0.2724,0.2724,0.2724,0.0108,0.0105,0.0113,0.3106,0.3106,0.3106,0.2937,0.2937,0.2937
710,0.30686,0.2791,0.3365,0.24325,0.2382,0.2483,0.2751,0.2751,0.2751,0.0134,0.0132,0.0135,0.3075,0.3075,0.3075,0.3029,0.3029,0.3029
714,0.2966,0.2716,0.321,0.23675,0.2337,0.2398,0.2633,0.2633,0.2633,0.009766667,0.0094,0.0104,0.3111,0.3111,0.3111,0.2986,0.2986,0.2986
718,0.29546,0.2749,0.313,0.23375,0.232,0.2355,0.2833,0.2833,0.2833,0.007733333,0.0063,0.0094,0.3146,0.3146,0.3146,0.2929,0.2929,0.2929
722,0.2992,0.2756,0.3299,0.23105,0.2283,0.2338,0.2837,0.2837,0.2837,0.0082,0.008,0.0085,0.3194,0.3194,0.3194,0.2892,0.2892,0.2892
726,0.30552,0.2797,0.3335,0.2382,0.2361,0.2403,0.2821,0.2821,0.2821,0.007933333,0.0067,0.0099,0.3176,0.3176,0.3176,0.2963,0.2963,0.2963
730,0.30612,0.2839,0.3402,0.2264,0.2233,0.2295,0.2845,0.2845,0.2845,0.004833333,0.0046,0.0052,0.3231,0.3231,0.3231,0.2999,0.2999,0.2999
734,0.30018,0.2784,0.3367,0.23565,0.2346,0.2367,0.2946,0.2946,0.2946,0.009133333,0.0034,0.0124,0.3154,0.3154,0.3154,0.3007,0.3007,0.3007
738,0.3088,0.2875,0.3466,0.2471,0.2456,0.2486,0.2818,0.2818,0.2818,0.0081,0.0063,0.0109,0.3236,0.3236,0.3236,0.2971,0.2971,0.2971
742,0.30618,0.2823,0.3417,0.2338,0.2261,0.2415,0.2773,0.2773,0.2773,0.0092,0.0078,0.0103,0.3205,0.3205,0.3205,0.3129,0.3129,0.3129
746,0.30666,0.2771,0.3401,0.2467,0.2428,0.2506,0.2829,0.2829,0.2829,0.008566667,0.0051,0.0142,0.3242,0.3242,0.3242,0.3016,0.3016,0.3016
750,0.30204,0.2809,0.3336,0.24385,0.2428,0.2449,0.2619,0.2619,0.2619,0.0092,0.0075,0.0104,0.313,0.313,0.313,0.3092,0.3092,0.3092
754,0.30812,0.2747,0.3386,0.24185,0.2369,0.2468,0.2764,0.2764,0.2764,0.0096,0.0073,0.0109,0.3118,0.3118,0.3118,0.3073,0.3073,0.3073
758,0.29908,0.2785,0.329,0.2427,0.2396,0.2458,0.2693,0.2693,0.2693,0.011166667,0.0108,0.0115,0.3114,0.3114,0.3114,0.3027,0.3027,0.3027
762,0.30012,0.2661,0.3274,0.2357,0.2312,0.2402,0.284,0.284,0.284,0.006433333,0.0063,0.0066,0.2993,0.2993,0.2993,0.3002,0.3002,0.3002
766,0.30796,0.2814,0.3379,0.24435,0.2417,0.247,0.2804,0.2804,0.2804,0.009666667,0.0086,0.011,0.3058,0.3058,0.3058,0.3061,0.3061,0.3061
770,0.30674,0.2892,0.3359,0.2495,0.2475,0.2515,0.2868,0.2868,0.2868,0.010733333,0.0103,0.011,0.3022,0.3022,0.3022,0.3117,0.3117,0.3117
774,0.30998,0.293,0.3401,0.252,0.2505,0.2535,0.2701,0.2701,0.2701,0.011366667,0.0108,0.0117,0.3051,0.3051,0.3051,0.3135,0.3135,0.3135
778,0.3139,0.28,0.3452,0.24575,0.2391,0.2524,0.295,0.295,0.295,0.0122,0.0121,0.0123,0.308,0.308,0.308,0.3071,0.3071,0.3071
782,0.30874,0.2902,0.3305,0.2525,0.2473,0.2577,0.277,0.277,0.277,0.0076,0.0063,0.0097,0.3136,0.3136,0.3136,0.3081,0.3081,0.3081
786,0.30688,0.2884,0.3321,0.24135,0.2396,0.2431,0.2851,0.2851,0.2851,0.009366667,0.0079,0.0108,0.3096,0.3096,0.3096,0.3052,0.3052,0.3052
790,0.30836,0.289,0.3361,0.2537,0.2508,0.2566,0.2815,0.2815,0.2815,0.011933333,0.0116,0.0121,0.3197,0.3197,0.3197,0.3106,0.3106,0.3106
794,0.30722,0.2857,0.3321,0.24855,0.2464,0.2507,0.2694,0.2694,0.2694,0.0121,0.009,0.0139,0.3184,0.3184,0.3184,0.3096,0.3096,0.3096
798,0.30732,0.2923,0.3292,0.24925,0.2492,0.2493,0.2674,0.2674,0.2674,0.008266667,0.0067,0.011,0.3168,0.3168,0.3168,0.3198,0.3198,0.3198
802,0.3059,0.2819,0.3261,0.24585,0.2427,0.249,0.2663,0.2663,0.2663,0.010833333,0.0108,0.0109,0.3143,0.3143,0.3143,0.3018,0.3018,0.3018
806,0.31318,0.2896,0.3336,0.25565,0.2491,0.2622,0.284,0.284,0.284,0.008866667,0.008,0.0098,0.319,0.319,0.319,0.3218,0.3218,0.3218
810,0.31088,0.2912,0.34,0.24975,0.2481,0.2514,0.2914,0.2914,0.2914,0.009566667,0.0094,0.0098,0.3239,0.3239,0.3239,0.3164,0.3164,0.3164
814,0.30088,0.2834,0.3251,0.24595,0.2449,0.247,0.2782,0.2782,0.2782,0.007866667,0.0062,0.0106,0.3105,0.3105,0.3105,0.3105,0.3105,0.3105
818,0.30948,0.2861,0.3301,0.251,0.2496,0.2524,0.281,0.281,0.281,0.0133,0.0112,0.0147,0.3189,0.3189,0.3189,0.3119,0.3119,0.3119
822,0.3118,0.2954,0.3271,0.24895,0.2433,0.2546,0.2639,0.2639,0.2639,0.009633333,0.0089,0.0109,0.3122,0.3122,0.3122,0.3078,0.3078,0.3078
826,0.309,0.2925,0.3297,0.2456,0.2449,0.2463,0.2816,0.2816,0.2816,0.0088,0.0054,0.0105,0.3056,0.3056,0.3056,0.3017,0.3017,0.3017
830,0.314,0.2919,0.3393,0.2467,0.2456,0.2478,0.2755,0.2755,0.2755,0.010966667,0.0109,0.011,0.3189,0.3189,0.3189,0.3083,0.3083,0.3083
834,0.3209,0.3033,0.3443,0.2543,0.2542,0.2544,0.2926,0.2926,0.2926,0.011,0.011,0.011,0.3211,0.3211,0.3211,0.3157,0.3157,0.3157
838,0.317375,0.2984,0.3362,0.256,0.254,0.258,0.2754,0.2754,0.2754,0.0088,0.0075,0.0095,0.3205,0.3205,0.3205,0.314,0.314,0.314
842,0.318275,0.305,0.3279,0.25705,0.256,0.2581,0.2734,0.2734,0.2734,0.0072,0.0053,0.011,0.3161,0.3161,0.3161,0.3088,0.3088,0.3088
846,0.314725,0.2982,0.3313,0.2513,0.2456,0.257,0.2843,0.2843,0.2843,0.0129,0.0093,0.0147,0.3132,0.3132,0.3132,0.3092,0.3092,0.3092
850,0.32025,0.3028,0.3379,0.25155,0.2476,0.2555,0.2953,0.2953,0.2953,0.012033333,0.0107,0.0147,0.3254,0.3254,0.3254,0.3146,0.3146,0.3146
854,0.3151,0.2969,0.3367,0.2597,0.2592,0.2602,0.2826,0.2826,0.2826,0.015,0.0147,0.0156,0.3226,0.3226,0.3226,0.3222,0.3222,0.3222
858,0.315725,0.2997,0.3334,0.2529,0.2484,0.2574,0.2874,0.2874,0.2874,0.015466667,0.0154,0.0156,0.3307,0.3307,0.3307,0.3147,0.3147,0.3147
862,0.320125,0.3025,0.3383,0.2541,0.2527,0.2555,0.2985,0.2985,0.2985,0.0076,0.0074,0.0077,0.3304,0.3304,0.3304,0.3226,0.3226,0.3226
866,0.322725,0.3059,0.3434,0.25185,0.2445,0.2592,0.2972,0.2972,0.2972,0.010966667,0.0109,0.011,0.3337,0.3337,0.3337,0.316,0.316,0.316
870,0.32515,0.3069,0.3412,0.25315,0.2529,0.2534,0.3012,0.3012,0.3012,0.0078,0.0078,0.0078,0.34,0.34,0.34,0.315,0.315,0.315
874,0.314925,0.3006,0.3285,0.2543,0.2502,0.2584,0.2895,0.2895,0.2895,0.0103,0.0099,0.0111,0.329,0.329,0.329,0.3201,0.3201,0.3201
878,0.3151,0.2998,0.3314,0.2518,0.2494,0.2542,0.2974,0.2974,0.2974,0.0088,0.0077,0.011,0.3313,0.3313,0.3313,0.323,0.323,0.323
882,0.3176,0.3053,0.3306,0.2488,0.2452,0.2524,0.2872,0.2872,0.2872,0.011033333,0.011,0.0111,0.3389,0.3389,0.3389,0.3206,0.3206,0.3206
886,0.317025,0.3008,0.3322,0.2593,0.2572,0.2614,0.299,0.299,0.299,0.010366667,0.0096,0.0119,0.3263,0.3263,0.3263,0.3063,0.3063,0.3063
890,0.3139,0.2965,0.3319,0.25555,0.2536,0.2575,0.2906,0.2906,0.2906,0.010833333,0.0095,0.0135,0.3279,0.3279,0.3279,0.3107,0.3107,0.3107
894,0.3192,0.2995,0.3414,0.25995,0.2561,0.2638,0.2932,0.2932,0.2932,0.016166667,0.0156,0.0165,0.3283,0.3283,0.3283,0.3193,0.3193,0.3193
898,0.3171,0.3075,0.3344,0.2533,0.2483,0.2583,0.2915,0.2915,0.2915,0.012033333,0.0093,0.0134,0.3278,0.3278,0.3278,0.3222,0.3222,0.3222
902,0.31835,0.2996,0.336,0.2566,0.2545,0.2587,0.2833,0.2833,0.2833,0.012166667,0.0121,0.0122,0.3317,0.3317,0.3317,0.314,0.314,0.314
906,0.3208,0.3026,0.3391,0.26055,0.2593,0.2618,0.2898,0.2898,0.2898,0.008833333,0.0079,0.0093,0.3358,0.3358,0.3358,0.3202,0.3202,0.3202
910,0.31955,0.3044,0.3311,0.26075,0.2588,0.2627,0.2916,0.2916,0.2916,0.009266667,0.0086,0.0106,0.3281,0.3281,0.3281,0.3178,0.3178,0.3178
914,0.3155,0.2985,0.3274,0.2657,0.2632,0.2682,0.2937,0.2937,0.2937,0.006533333,0.0053,0.009,0.3293,0.3293,0.3293,0.3094,0.3094,0.3094
918,0.317675,0.2973,0.343,0.25695,0.2535,0.2604,0.2918,0.2918,0.2918,0.009133333,0.0054,0.011,0.3322,0.3322,0.3322,0.3159,0.3159,0.3159
922,0.31825,0.2983,0.3353,0.26345,0.258,0.2689,0.3025,0.3025,0.3025,0.010733333,0.0107,0.0108,0.3244,0.3244,0.3244,0.3094,0.3094,0.3094
926,0.3226,0.3034,0.3468,0.26175,0.2609,0.2626,0.3035,0.3035,0.3035,0.006333333,0.0042,0.0106,0.333,0.333,0.333,0.3268,0.3268,0.3268
930,0.322475,0.3075,0.3402,0.25435,0.2512,0.2575,0.3091,0.3091,0.3091,0.012233333,0.0115,0.0126,0.3396,0.3396,0.3396,0.3208,0.3208,0.3208
934,0.32255,0.3116,0.3342,0.2625,0.2599,0.2651,0.3017,0.3017,0.3017,0.008433333,0.0053,0.0147,0.334,0.334,0.334,0.3194,0.3194,0.3194
938,0.314475,0.3041,0.3244,0.26505,0.2616,0.2685,0.2952,0.2952,0.2952,0.0089,0.0073,0.0097,0.3345,0.3345,0.3345,0.3131,0.3131,0.3131
942,0.327425,0.31,0.3471,0.2612,0.2599,0.2625,0.2942,0.2942,0.2942,0.012833333,0.0126,0.0133,0.3397,0.3397,0.3397,0.3243,0.3243,0.3243
946,0.3272,0.3086,0.3492,0.2697,0.2647,0.2747,0.2882,0.2882,0.2882,0.010566667,0.0095,0.0127,0.3333,0.3333,0.3333,0.3226,0.3226,0.3226
950,0.328925,0.3139,0.3444,0.2683,0.2665,0.2701,0.3038,0.3038,0.3038,0.012733333,0.0127,0.0128,0.3486,0.3486,0.3486,0.3213,0.3213,0.3213
954,0.3248,0.3124,0.3377,0.27155,0.269,0.2741,0.297,0.297,0.297,0.011366667,0.0109,0.0116,0.3372,0.3372,0.3372,0.3288,0.3288,0.3288
958,0.32475,0.3078,0.3466,0.26335,0.261,0.2657,0.2855,0.2855,0.2855,0.010766667,0.0107,0.0109,0.3361,0.3361,0.3361,0.3144,0.3144,0.3144
962,0.325125,0.3143,0.3431,0.2695,0.2674,0.2716,0.3024,0.3024,0.3024,0.0095,0.0095,0.0095,0.3426,0.3426,0.3426,0.3229,0.3229,0.3229
966,0.325325,0.3084,0.3459,0.2659,0.2649,0.2669,0.3177,0.3177,0.3177,0.012166667,0.0121,0.0122,0.3429,0.3429,0.3429,0.3152,0.3152,0.3152
970,0.32265,0.3111,0.3369,0.2571,0.2568,0.2574,0.3075,0.3075,0.3075,0.0119,0.0108,0.0128,0.3423,0.3423,0.3423,0.3178,0.3178,0.3178
974,0.3231,0.31,0.3443,0.25935,0.2544,0.2643,0.2916,0.2916,0.2916,0.009366667,0.0063,0.011,0.3374,0.3374,0.3374,0.3265,0.3265,0.3265
978,0.32545,0.3021,0.3454,0.2639,0.2614,0.2664,0.303,0.303,0.303,0.009733333,0.0059,0.0117,0.3375,0.3375,0.3375,0.3238,0.3238,0.3238
982,0.330525,0.3182,0.3459,0.27215,0.2679,0.2764,0.3111,0.3111,0.3111,0.013366667,0.0132,0.0135,0.3352,0.3352,0.3352,0.3311,0.3311,0.3311
986,0.317525,0.2984,0.333,0.2718,0.2703,0.2733,0.2821,0.2821,0.2821,0.009266667,0.0092,0.0093,0.3385,0.3385,0.3385,0.3198,0.3198,0.3198
990,0.31845,0.3031,0.3387,0.2712,0.267,0.2754,0.2863,0.2863,0.2863,0.0112,0.0082,0.0127,0.3304,0.3304,0.3304,0.3308,0.3308,0.3308
994,0.32095,0.309,0.3393,0.26815,0.2677,0.2686,0.2924,0.2924,0.2924,0.010666667,0.0105,0.0108,0.3301,0.3301,0.3301,0.3212,0.3212,0.3212
998,0.323425,0.3108,0.3381,0.2581,0.2549,0.2613,0.2808,0.2808,0.2808,0.0075,0.0064,0.0081,0.3335,0.3335,0.3335,0.3225,0.3225,0.3225
1002,0.327725,0.3129,0.342,0.2808,0.2758,0.2858,0.2878,0.2878,0.2878,0.0115,0.0109,0.0118,0.3318,0.3318,0.3318,0.3221,0.3221,0.3221
1006,0.324175,0.3074,0.3397,0.2688,0.2675,0.2701,0.2951,0.2951,0.2951,0.010766667,0.0106,0.0109,0.3264,0.3264,0.3264,0.3267,0.3267,0.3267
1010,0.32345,0.3124,0.3391,0.27365,0.2716,0.2757,0.2964,0.2964,0.2964,0.010666667,0.0106,0.0107,0.3325,0.3325,0.3325,0.3289,0.3289,0.3289
1014,0.32695,0.306,0.3455,0.2723,0.2674,0.2772,0.2922,0.2922,0.2922,0.0108,0.0106,0.0109,0.3343,0.3343,0.3343,0.3287,0.3287,0.3287
1018,0.325025,0.3144,0.3388,0.26855,0.2664,0.2707,0.2866,0.2866,0.2866,0.0102,0.0097,0.0111,0.3352,0.3352,0.3352,0.3237,0.3237,0.3237
1022,0.329075,0.3159,0.3452,0.26885,0.2639,0.2738,0.3053,0.3053,0.3053,0.010833333,0.0054,0.0136,0.3361,0.3361,0.3361,0.323,0.323,0.323
1026,0.3258,0.3091,0.3418,0.26025,0.2581,0.2624,0.3049,0.3049,0.3049,0.009233333,0.0086,0.0105,0.3367,0.3367,0.3367,0.3255,0.3255,0.3255
1030,0.32365,0.3098,0.3362,0.2718,0.2707,0.2729,0.3045,0.3045,0.3045,0.005566667,0.005,0.0067,0.337,0.337,0.337,0.3234,0.3234,0.3234
1034,0.327075,0.3148,0.3478,0.26,0.2583,0.2617,0.3096,0.3096,0.3096,0.011966667,0.0112,0.0124,0.3358,0.3358,0.3358,0.3189,0.3189,0.3189
1038,0.329575,0.3226,0.3398,0.2726,0.2709,0.2743,0.319,0.319,0.319,0.0125,0.0122,0.0131,0.3346,0.3346,0.3346,0.3311,0.3311,0.3311
1042,0.325375,0.3101,0.341,0.2753,0.2751,0.2755,0.3092,0.3092,0.3092,0.0126,0.0121,0.0136,0.3358,0.3358,0.3358,0.3187,0.3187,0.3187
1046,0.327025,0.3168,0.3362,0.2678,0.2611,0.2745,0.301,0.301,0.301,0.0046,0.0046,0.0046,0.3262,0.3262,0.3262,0.3258,0.3258,0.3258
1050,0.32795,0.3138,0.3388,0.26775,0.2574,0.2781,0.2951,0.2951,0.2951,0.016166667,0.0155,0.0165,0.3364,0.3364,0.3364,0.3279,0.3279,0.3279
1054,0.332075,0.3203,0.3449,0.2642,0.2638,0.2646,0.3111,0.3111,0.3111,0.014133333,0.0134,0.0155,0.3387,0.3387,0.3387,0.3331,0.3331,0.3331
1058,0.32565,0.3088,0.341,0.2775,0.2742,0.2808,0.3039,0.3039,0.3039,0.004233333,0.0042,0.0043,0.3363,0.3363,0.3363,0.3231,0.3231,0.3231
1062,0.330825,0.311,0.3472,0.274,0.2734,0.2746,0.3128,0.3128,0.3128,0.0121,0.0121,0.0121,0.3466,0.3466,0.3466,0.3291,0.3291,0.3291
1066,0.32775,0.319,0.3422,0.2768,0.2741,0.2795,0.309,0.309,0.309,0.007266667,0.0053,0.0112,0.3504,0.3504,0.3504,0.3281,0.3281,0.3281
1070,0.326275,0.314,0.3375,0.28405,0.2822,0.2859,0.2998,0.2998,0.2998,0.010166667,0.0061,0.0122,0.3389,0.3389,0.3389,0.3302,0.3302,0.3302
1074,0.32975,0.3177,0.3407,0.276,0.2751,0.2769,0.2973,0.2973,0.2973,0.009433333,0.0065,0.0109,0.3404,0.3404,0.3404,0.3296,0.3296,0.3296
1078,0.3326,0.3169,0.3419,0.28315,0.2793,0.287,0.2936,0.2936,0.2936,0.0077,0.0044,0.0101,0.3489,0.3489,0.3489,0.33,0.33,0.33
1082,0.32925,0.3175,0.337,0.27045,0.2686,0.2723,0.2942,0.2942,0.2942,0.016266667,0.0158,0.0165,0.3462,0.3462,0.3462,0.319,0.319,0.319
1086,0.3279,0.3172,0.336,0.28125,0.2771,0.2854,0.3081,0.3081,0.3081,0.007666667,0.0074,0.0082,0.3517,0.3517,0.3517,0.3283,0.3283,0.3283
1090,0.3323,0.3213,0.3441,0.28325,0.2788,0.2877,0.3075,0.3075,0.3075,0.009833333,0.0098,0.0099,0.3455,0.3455,0.3455,0.3293,0.3293,0.3293
1094,0.335725,0.3252,0.352,0.2781,0.2776,0.2786,0.3132,0.3132,0.3132,0.010333333,0.0094,0.0122,0.3402,0.3402,0.3402,0.333,0.333,0.333
1098,0.33535,0.3193,0.3535,0.27625,0.2756,0.2769,0.3056,0.3056,0.3056,0.005333333,0.0053,0.0054,0.348,0.348,0.348,0.3419,0.3419,0.3419
1102,0.3324,0.3249,0.3448,0.2703,0.2662,0.2744,0.2816,0.2816,0.2816,0.006366667,0.0063,0.0065,0.341,0.341,0.341,0.3291,0.3291,0.3291
1106,0.331425,0.3225,0.3405,0.285,0.285,0.285,0.3117,0.3117,0.3117,0.006633333,0.006,0.0072,0.3437,0.3437,0.3437,0.3271,0.3271,0.3271
1110,0.3322,0.318,0.3447,0.26545,0.2631,0.2678,0.2989,0.2989,0.2989,0.011866667,0.0114,0.0121,0.3408,0.3408,0.3408,0.3301,0.3301,0.3301
1114,0.3279,0.3133,0.3418,0.2801,0.2741,0.2861,0.3045,0.3045,0.3045,0.010266667,0.0082,0.0115,0.3475,0.3475,0.3475,0.3337,0.3337,0.3337
1118,0.32935,0.3134,0.342,0.2826,0.2823,0.2829,0.3014,0.3014,0.3014,0.008866667,0.0046,0.011,0.3394,0.3394,0.3394,0.336,0.336,0.336
1122,0.33135,0.3189,0.3428,0.2735,0.2712,0.2758,0.3023,0.3023,0.3023,0.005333333,0.0053,0.0054,0.3359,0.3359,0.3359,0.3297,0.3297,0.3297
1126,0.332225,0.319,0.3429,0.2855,0.2787,0.2923,0.2948,0.2948,0.2948,0.009733333,0.008,0.0122,0.3451,0.3451,0.3451,0.3327,0.3327,0.3327
1130,0.330325,0.3181,0.342,0.2757,0.2727,0.2787,0.2975,0.2975,0.2975,0.0093,0.0093,0.0093,0.3354,0.3354,0.3354,0.3229,0.3229,0.3229
1134,0.330375,0.3199,0.3465,0.27815,0.2767,0.2796,0.3058,0.3058,0.3058,0.009533333,0.0095,0.0096,0.3405,0.3405,0.3405,0.3337,0.3337,0.3337
1138,0.32615,0.3092,0.3421,0.2779,0.2718,0.284,0.307,0.307,0.307,0.010566667,0.0105,0.0107,0.3322,0.3322,0.3322,0.3317,0.3317,0.3317
1142,0.334925,0.3174,0.3461,0.2834,0.2773,0.2895,0.3121,0.3121,0.3121,0.014733333,0.0146,0.0149,0.3374,0.3374,0.3374,0.333,0.333,0.333
1146,0.326075,0.3111,0.3361,0.27445,0.2692,0.2797,0.3019,0.3019,0.3019,0.0078,0.0074,0.008,0.3399,0.3399,0.3399,0.3269,0.3269,0.3269
1150,0.32595,0.3081,0.3428,0.27735,0.2673,0.2874,0.2984,0.2984,0.2984,0.0072,0.0057,0.0097,0.3333,0.3333,0.3333,0.3268,0.3268,0.3268
1154,0.33475,0.3222,0.3466,0.27485,0.2734,0.2763,0.3116,0.3116,0.3116,0.0099,0.0035,0.0131,0.3302,0.3302,0.3302,0.332,0.332,0.332
1158,0.332925,0.3181,0.3444,0.28085,0.2739,0.2878,0.3057,0.3057,0.3057,0.0124,0.0123,0.0125,0.3394,0.3394,0.3394,0.3292,0.3292,0.3292
1162,0.329325,0.3154,0.3408,0.2709,0.2678,0.274,0.2954,0.2954,0.2954,0.008633333,0.0086,0.0087,0.3332,0.3332,0.3332,0.3261,0.3261,0.3261
1166,0.326575,0.3205,0.3357,0.28375,0.2778,0.2897,0.3044,0.3044,0.3044,0.005033333,0.005,0.0051,0.3331,0.3331,0.3331,0.3328,0.3328,0.3328
1170,0.3307,0.3152,0.3457,0.27945,0.2784,0.2805,0.2954,0.2954,0.2954,0.010766667,0.0107,0.0109,0.3416,0.3416,0.3416,0.3298,0.3298,0.3298
1174,0.327825,0.3146,0.337,0.2807,0.2764,0.285,0.3063,0.3063,0.3063,0.011366667,0.0107,0.0124,0.3359,0.3359,0.3359,0.3284,0.3284,0.3284
1178,0.333275,0.3188,0.3452,0.2788,0.2777,0.2799,0.3123,0.3123,0.3123,0.005733333,0.0035,0.0073,0.3404,0.3404,0.3404,0.328,0.328,0.328
1182,0.332825,0.3195,0.3429,0.282,0.2746,0.2894,0.3038,0.3038,0.3038,0.011433333,0.0095,0.0137,0.3355,0.3355,0.3355,0.3273,0.3273,0.3273
1186,0.3346,0.3251,0.3474,0.2787,0.278,0.2794,0.3226,0.3226,0.3226,0.013133333,0.0124,0.0136,0.3457,0.3457,0.3457,0.3302,0.3302,0.3302
1190,0.33345,0.3128,0.3548,0.2831,0.2775,0.2887,0.3048,0.3048,0.3048,0.010833333,0.0101,0.0123,0.3371,0.3371,0.3371,0.3287,0.3287,0.3287
1194,0.3316,0.3213,0.3471,0.28755,0.2762,0.2989,0.2976,0.2976,0.2976,0.0107,0.0079,0.0121,0.3389,0.3389,0.3389,0.3259,0.3259,0.3259
